Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           2950	        46	80000080	400017b7	lui	x15,0x40001	 x15=0x40001000
           2970	        47	80000084	10678793	addi	x15,x15,262	 x15:0x40001000 x15=0x40001106
           2990	        48	80000088	30179073	csrrw	x0,misa,x15	 x15:0x40001106  x0=0x00000000
           3310	        64	8000008c	00026c17	auipc	x24,0x26	 x24=0x8002608c
           3370	        67	80000090	c58c0c13	addi	x24,x24,-936	 x24:0x8002608c x24=0x80025ce4
           3390	        68	80000094	00002797	auipc	x15,0x2	 x15=0x80002094
           3410	        69	80000098	46c78793	addi	x15,x15,1132	 x15:0x80002094 x15=0x80002500
           3510	        74	8000009c	0017e793	ori	x15,x15,1	 x15:0x80002500 x15=0x80002501
           3970	        97	800000a0	30579073	csrrw	x0,mtvec,x15	 x15:0x80002501  x0=0x00000000
           4030	       100	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           4090	       103	800000a8	00003c97	auipc	x25,0x3	 x25=0x800030a8
           4110	       104	800000ac	1c0c8c93	addi	x25,x25,448	 x25:0x800030a8 x25=0x80003268
           4490	       123	800000b0	4781	c.li	x15,0	 x15=0x00000000
           4510	       124	800000b2	9cbe	c.add	x25,x15	 x25:0x80003268 x15:0x00000000 x25=0x80003268
           4530	       125	800000b4	002cdc93	srli	x25,x25,0x2	 x25:0x80003268 x25=0x20000c9a
           4570	       127	800000b8	3b0c9073	csrrw	x0,pmpaddr0,x25	 x25:0x20000c9a  x0=0x00000000
           4630	       130	800000bc	00003c97	auipc	x25,0x3	 x25=0x800030bc
           4650	       131	800000c0	1acc8c93	addi	x25,x25,428	 x25:0x800030bc x25=0x80003268
           5050	       151	800000c4	111117b7	lui	x15,0x11111	 x15=0x11111000
           5070	       152	800000c8	11178793	addi	x15,x15,273	 x15:0x11111000 x15=0x11111111
           5090	       153	800000cc	9cbe	c.add	x25,x15	 x25:0x80003268 x15:0x11111111 x25=0x91114379
           5110	       154	800000ce	002cdc93	srli	x25,x25,0x2	 x25:0x91114379 x25=0x244450de
