Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           2674	        32	80000080	40001a37	lui	x20,0x40001	 x20=0x40001000
           3094	        53	80000084	106a0a13	addi	x20,x20,262	 x20:0x40001000 x20=0x40001106
           3114	        54	80000088	301a1073	csrrw	x0,misa,x20	 x20:0x40001106  x0=0x00000000
           3174	        57	8000008c	00026897	auipc	x17,0x26	 x17=0x8002608c
           3194	        58	80000090	c5888893	addi	x17,x17,-936	 x17:0x8002608c x17=0x80025ce4
           3214	        59	80000094	00002a17	auipc	x20,0x2	 x20=0x80002094
           3234	        60	80000098	66ca0a13	addi	x20,x20,1644	 x20:0x80002094 x20=0x80002700
           3414	        69	8000009c	001a6a13	ori	x20,x20,1	 x20:0x80002700 x20=0x80002701
           3434	        70	800000a0	305a1073	csrrw	x0,mtvec,x20	 x20:0x80002701  x0=0x00000000
           3494	        73	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           3554	        76	800000a8	00003717	auipc	x14,0x3	 x14=0x800030a8
           3874	        92	800000ac	41470713	addi	x14,x14,1044	 x14:0x800030a8 x14=0x800034bc
           4294	       113	800000b0	4a01	c.li	x20,0	 x20=0x00000000
           4314	       114	800000b2	9752	c.add	x14,x20	 x14:0x800034bc x20:0x80002701 x14=0x00005bbd
