Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           3939	        95	80000080	40001337	lui	x6,0x40001	  x6=0x40001000
           4219	       109	80000084	10630313	addi	x6,x6,262	  x6:0x40001000  x6=0x40001106
           4359	       116	80000088	30131073	csrrw	x0,misa,x6	  x6:0x40001106  x0=0x00000000
           4539	       125	8000008c	00026c17	auipc	x24,0x26	 x24=0x8002608c
           4559	       126	80000090	c58c0c13	addi	x24,x24,-936	 x24:0x8002608c x24=0x80025ce4
           4979	       147	80000094	00002317	auipc	x6,0x2	  x6=0x80002094
           4999	       148	80000098	66c30313	addi	x6,x6,1644	  x6:0x80002094  x6=0x80002700
           5159	       156	8000009c	00136313	ori	x6,x6,1	  x6:0x80002700  x6=0x80002701
           5299	       163	800000a0	30531073	csrrw	x0,mtvec,x6	  x6:0x80002701  x0=0x00000000
           5479	       172	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           5539	       175	800000a8	00003897	auipc	x17,0x3	 x17=0x800030a8
           5559	       176	800000ac	44488893	addi	x17,x17,1092	 x17:0x800030a8 x17=0x800034ec
           5579	       177	800000b0	4301	c.li	x6,0	  x6=0x00000000
           5599	       178	800000b2	989a	c.add	x17,x6	 x17:0x800034ec  x6:0x00000000 x17=0x800034ec
           5619	       179	800000b4	0028d893	srli	x17,x17,0x2	 x17:0x800034ec x17=0x20000d3b
           5639	       180	800000b8	3b089073	csrrw	x0,pmpaddr0,x17	 x17:0x20000d3b  x0=0x00000000
           5799	       188	800000bc	00003897	auipc	x17,0x3	 x17=0x800030bc
           5819	       189	800000c0	43088893	addi	x17,x17,1072	 x17:0x800030bc x17=0x800034ec
           5839	       190	800000c4	11111337	lui	x6,0x11111	  x6=0x11111000
           6019	       199	800000c8	11130313	addi	x6,x6,273	  x6:0x11111000  x6=0x11111111
           6039	       200	800000cc	989a	c.add	x17,x6	 x17:0x800034ec  x6:0x11111111 x17=0x911145fd
           6459	       221	800000ce	0028d893	srli	x17,x17,0x2	 x17:0x911145fd x17=0x2444517f
           6479	       222	800000d2	3b189073	csrrw	x0,pmpaddr1,x17	 x17:0x2444517f  x0=0x00000000
           6539	       225	800000d6	00003897	auipc	x17,0x3	 x17=0x800030d6
           6739	       235	800000da	41688893	addi	x17,x17,1046	 x17:0x800030d6 x17=0x800034ec
           7099	       253	800000de	22222337	lui	x6,0x22222	  x6=0x22222000
           7119	       254	800000e2	22230313	addi	x6,x6,546	  x6:0x22222000  x6=0x22222222
           7139	       255	800000e6	989a	c.add	x17,x6	 x17:0x800034ec  x6:0x22222222 x17=0xa222570e
           7159	       256	800000e8	0028d893	srli	x17,x17,0x2	 x17:0xa222570e x17=0x288895c3
           7339	       265	800000ec	3b289073	csrrw	x0,pmpaddr2,x17	 x17:0x288895c3  x0=0x00000000
           7399	       268	800000f0	00003897	auipc	x17,0x3	 x17=0x800030f0
           7419	       269	800000f4	3fc88893	addi	x17,x17,1020	 x17:0x800030f0 x17=0x800034ec
           7439	       270	800000f8	33333337	lui	x6,0x33333	  x6=0x33333000
           7519	       274	800000fc	33330313	addi	x6,x6,819	  x6:0x33333000  x6=0x33333333
           7799	       288	80000100	989a	c.add	x17,x6	 x17:0x800034ec  x6:0x33333333 x17=0xb333681f
           7859	       291	80000102	0028d893	srli	x17,x17,0x2	 x17:0xb333681f x17=0x2cccda07
           7879	       292	80000106	3b389073	csrrw	x0,pmpaddr3,x17	 x17:0x2cccda07  x0=0x00000000
           7939	       295	8000010a	0f0f18b7	lui	x17,0xf0f1	 x17=0x0f0f1000
           7959	       296	8000010e	f0f88893	addi	x17,x17,-241	 x17:0x0f0f1000 x17=0x0f0f0f0f
           8059	       301	80000112	3a089073	csrrw	x0,pmpcfg0,x17	 x17:0x0f0f0f0f  x0=0x00000000
           8479	       322	80000116	00003897	auipc	x17,0x3	 x17=0x80003116
           8499	       323	8000011a	3d688893	addi	x17,x17,982	 x17:0x80003116 x17=0x800034ec
           8759	       336	8000011e	44444337	lui	x6,0x44444	  x6=0x44444000
           8779	       337	80000122	44430313	addi	x6,x6,1092	  x6:0x44444000  x6=0x44444444
           8799	       338	80000126	989a	c.add	x17,x6	 x17:0x800034ec  x6:0x44444444 x17=0xc4447930
           8819	       339	80000128	0028d893	srli	x17,x17,0x2	 x17:0xc4447930 x17=0x31111e4c
           9039	       350	8000012c	3b489073	csrrw	x0,pmpaddr4,x17	 x17:0x31111e4c  x0=0x00000000
           9099	       353	80000130	00003897	auipc	x17,0x3	 x17=0x80003130
           9119	       354	80000134	3bc88893	addi	x17,x17,956	 x17:0x80003130 x17=0x800034ec
           9299	       363	80000138	55555337	lui	x6,0x55555	  x6=0x55555000
           9359	       366	8000013c	55530313	addi	x6,x6,1365	  x6:0x55555000  x6=0x55555555
           9519	       374	80000140	989a	c.add	x17,x6	 x17:0x800034ec  x6:0x55555555 x17=0xd5558a41
           9699	       383	80000142	0028d893	srli	x17,x17,0x2	 x17:0xd5558a41 x17=0x35556290
           9759	       386	80000146	3b589073	csrrw	x0,pmpaddr5,x17	 x17:0x35556290  x0=0x00000000
           9819	       389	8000014a	00003897	auipc	x17,0x3	 x17=0x8000314a
           9839	       390	8000014e	3a288893	addi	x17,x17,930	 x17:0x8000314a x17=0x800034ec
          10059	       401	80000152	66666337	lui	x6,0x66666	  x6=0x66666000
          10159	       406	80000156	66630313	addi	x6,x6,1638	  x6:0x66666000  x6=0x66666666
          10179	       407	8000015a	989a	c.add	x17,x6	 x17:0x800034ec  x6:0x66666666 x17=0xe6669b52
